Test case ID	Sub model	Description	Priority	Pre-condition	Test steps	Test steps Result	Test data	Expected result	Actual result	Status	Environment	Notes
P-Lo-1	Login	Login sahifasidagi barcha elementlar to'liq yuklanishi	High	Internet yaxshi ishlashi kerak	1) ICE CITY ilovasini oching	1) Login sahifasi ochiladi: til tanlash, sarlavha, telefon maydoni, "Davom etish" tugmasi ko'rinadi		Barcha elementlar to'liq ko'rinishi kerak			Ilova versiyasi 1.0.10, Samsung Galaxy A31, Android 11	
P-Lo-2	Login	Til tanlash — O'zbek tili ishlashi	High	Internet yaxshi ishlashi kerak	1) ICE CITY ilovasini oching 2) "O'zbek tili" tugmasini bosing	1) Login sahifasi ochiladi 2) Barcha matnlar o'zbekchaga o'zgaradi		Barcha matnlar o'zbek tiliga o'zgarishi kerak			Ilova versiyasi 1.0.10, Samsung Galaxy A31, Android 11	Default til o'zbek bo'lishi kerak
P-Lo-3	Login	Til tanlash — Russki ishlashi	High	Internet yaxshi ishlashi kerak	1) ICE CITY ilovasini oching 2) "Русский" tugmasini bosing	1) Login sahifasi ochiladi 2) Barcha matnlar ruscha bo'ladi		Barcha matnlar rus tiliga o'zgarishi kerak			Ilova versiyasi 1.0.10, Samsung Galaxy A31, Android 11	
P-Lo-4	Login	Telefon raqam maydoni to'g'ri formatda ko'rinishi	High	Internet yaxshi ishlashi kerak	1) ICE CITY ilovasini oching 2) Telefon raqam maydoniga e'tibor bering	1) Login sahifasi ochiladi 2) "+998 __ __ __ __" placeholder ko'rinadi		"+998 __ __ __ __" placeholder to'g'ri ko'rinishi kerak			Ilova versiyasi 1.0.10, Samsung Galaxy A31, Android 11	
P-Lo-5	Login	Telefon maydoniga bosish — raqamli klaviatura chiqishi	Medium	Internet yaxshi ishlashi kerak	1) ICE CITY ilovasini oching 2) Telefon raqam maydoniga bosing	1) Login sahifasi ochiladi 2) Raqamli klaviatura ekranda paydo bo'ladi		Raqamli klaviatura avtomatik chiqishi kerak			Ilova versiyasi 1.0.10, Samsung Galaxy A31, Android 11	
P-Lo-6	Login	To'liq raqam kiritilganda "Davom etish" tugmasi faollashishi	High	Internet yaxshi ishlashi kerak	1) ICE CITY ilovasini oching 2) +998 90 123 45 67 raqamini kiriting	1) Login sahifasi ochiladi 2) "Davom etish" tugmasi ko'k rangga o'tib faollashadi	+998 90 123 45 67	"Davom etish" tugmasi faol (ko'k rang) bo'lishi kerak			Ilova versiyasi 1.0.10, Samsung Galaxy A31, Android 11	
N-Lo-7	Login	Raqam kiritilmagan holatda "Davom etish" tugmasi nofaol bo'lishi	High	Internet yaxshi ishlashi kerak	1) ICE CITY ilovasini oching 2) Telefon maydonini bo'sh qoldiring 3) "Davom etish" tugmasini bosing	1) Login sahifasi ochiladi 2) Maydon bo'sh 3) Tugma bosilmaydi		"Davom etish" tugmasi nofaol (kulrang) bo'lishi kerak			Ilova versiyasi 1.0.10, Samsung Galaxy A31, Android 11	
N-Lo-8	Login	9 tadan kam raqam kiritilganda xato xabari ko'rinishi	High	Internet yaxshi ishlashi kerak	1) ICE CITY ilovasini oching 2) +998 90 123 kiriting 3) "Davom etish" tugmasini bosing	1) Login sahifasi ochiladi 2) Qisman raqam kiritiladi 3) Xato xabari chiqadi	+998 90 123	Noto'g'ri format haqida xato xabari ko'rinishi kerak			Ilova versiyasi 1.0.10, Samsung Galaxy A31, Android 11	
N-Lo-9	Login	Telefon maydoniga harf kiritib bo'lmasligi	High	Internet yaxshi ishlashi kerak	1) ICE CITY ilovasini oching 2) Telefon maydoniga harflar kiritishga urinib ko'ring	1) Login sahifasi ochiladi 2) Harflar qabul qilinmaydi	abc	Harflar qabul qilinmasligi kerak			Ilova versiyasi 1.0.10, Samsung Galaxy A31, Android 11	
P-Lo-10	Login	To'g'ri raqam kiritib "Davom etish" bosilganda SMS ekraniga o'tish	Critical	Internet yaxshi ishlashi kerak	1) ICE CITY ilovasini oching 2) +998 90 123 45 67 kiriting 3) "Davom etish" tugmasini bosing	1) Login sahifasi ochiladi 2) Raqam kiritiladi 3) SMS tasdiqlash ekrani ochiladi	+998 90 123 45 67	SMS tasdiqlash ekraniga o'tishi kerak			Ilova versiyasi 1.0.10, Samsung Galaxy A31, Android 11	
